OBEC;OBEC_KOD;OKRES;oD;oD.cat;rb;rb.raw;re;re.raw;score
Želechovice nad Dřevnicí;500011;Zlín;1611.26666666667;1-2k;0.0044602494693196;0.00388927965575738;0.0433032914112267;0.0433032914112267;0.00567433968699941
Petrov nad Desnou;500020;Šumperk;1040.13333333333;1-2k;0.0190629248257115;0.0199333418792463;0.0742204271062169;0.0742204271062169;0.0154347343461756
Libhošť;500046;Nový Jičín;1416.13333333333;1-2k;0.00900474703373966;0.00875623764240655;0.0356715361498051;0.0356715361498051;0.00733958136357474
Krhová;500062;Vsetín;1714.4;1-2k;0.00888560534880793;0.00867164411261471;0.0182700495474391;0.0182700495474391;0.00589594805390187
Poličná;500071;Vsetín;1488.26666666667;1-2k;0.00537884776969956;0.0048378426805232;0.0187401661215369;0.0187401661215369;0.00417996093784599
Bražec;500101;Karlovy Vary;182.466666666667;100-200;0.0286562743232783;0.0401899890390939;0.212157779075901;0.212157779075901;0.0312025356457909
Doupovské Hradiště;500127;Karlovy Vary;132;100-200;0.00808371911257061;0.00454545454545455;0.0870114169576923;0.0870114169576923;0.0109624887635202
Kozlov;500135;Olomouc;218.2;200-500;0.029363391060404;0.0394133822181485;0.152989741539712;0.152989741539712;0.0268500443598949
Luboměř pod Strážnou;500151;Přerov;105.6;100-200;0.0150802940673489;0.0189393939393939;0.06583173384515;0.06583173384515;0.0127762072650942
Město Libavá;500160;Olomouc;504.933333333333;500-1k;0.0298616506698021;0.0343279640876683;0.176095539217382;0.176095539217382;0.0289369405618737
Polná na Šumavě;500194;Český Krumlov;169.266666666667;100-200;0.0482924189349705;0.0752264671130366;0.198148736227629;0.198148736227629;0.0399063703666048
Veřovice;500259;Nový Jičín;1671.86666666667;1-2k;0.0086507155856105;0.00841374910279927;0.0310858604450634;0.0310858604450634;0.00679783463837529
Vřesina;500291;Ostrava-město;2453.26666666667;2-5k;0.00481364061589077;0.00445664284355553;0.0347624580119422;0.0347624580119422;0.00517172278447558
Olomouc;500496;Olomouc;83519.8;50-200k;0.0119562425376345;0.0119564462558579;0.0900660028722137;0.0900660028722137;0.0131417031509445
Bělkovice-Lašťany;500526;Olomouc;1876.53333333333;1-2k;0.00650044090127435;0.00614608497939463;0.0497105294938268;0.0497105294938268;0.00720404805569006
Bílá Lhota;500623;Olomouc;973.8;500-1k;0.0134184405520543;0.0136236051208325;0.0841816675586762;0.0841816675586762;0.0134047796358246
Blatec;500801;Olomouc;545.866666666667;500-1k;0.00508424298707738;0.00354176844162189;0.046605397108109;0.046605397108109;0.00624897610777845
Bohuňovice;500852;Olomouc;2147.33333333333;2-5k;0.00754474804691095;0.00729587084756287;0.0850683921416212;0.0850683921416212;0.0105384608181812
Bouzov;500861;Olomouc;1284.8;1-2k;0.0123971597474327;0.012453300124533;0.0551588924027243;0.0551588924027243;0.0105857540532454
Bystročice;500879;Olomouc;661.6;500-1k;0.00899760464267817;0.00846432889963724;0.0477828984697549;0.0477828984697549;0.00829931189029504
Dlouhá Loučka;501476;Olomouc;1645.4;1-2k;0.0136753553689923;0.0138162959361452;0.0958502642750779;0.0958502642750779;0.0144613225078626
Dolany;501646;Olomouc;2271.93333333333;2-5k;0.00464935020245201;0.00425481968367616;0.0520844322677275;0.0520844322677275;0.00646731586950069
Drahanovice;501751;Olomouc;1498.26666666667;1-2k;0.0104793928776935;0.0103675358191688;0.049006389649553;0.049006389649553;0.00913751885581464
Dub nad Moravou;501794;Olomouc;1326.53333333333;1-2k;0.0110762291452239;0.0110061312694743;0.0664617247075565;0.0664617247075565;0.0108242824027252
Grygov;501841;Olomouc;1266.93333333333;1-2k;0.0107362774643881;0.0106293411913281;0.0755034157567727;0.0755034157567727;0.0113734557653185
Hlubočky;502146;Olomouc;3551.73333333333;2-5k;0.0169926698913702;0.0171747128162775;0.0914932853107669;0.0914932853107669;0.0157734386261762
Hněvotín;502235;Olomouc;1507.8;1-2k;0.00686602715902988;0.00645532121855242;0.0390708492185538;0.0390708492185538;0.00654059267324317
Hnojice;502405;Olomouc;503.2;500-1k;0.00988673853114292;0.00940646528881823;0.0629383339744077;0.0629383339744077;0.0099492970804211
Horka nad Moravou;502545;Olomouc;2066.46666666667;2-5k;0.00551115652162812;0.00512952866406426;0.0724109152098484;0.0724109152098484;0.00851492700199768
Cholina;502839;Olomouc;605.2;500-1k;0.00741009195462063;0.00649922890504516;0.0413953532982416;0.0413953532982416;0.0069975092091057
Jívová;503142;Olomouc;498.133333333333;200-500;0.0117858924980164;0.0117773019271949;0.0941176065145574;0.0941176065145574;0.0133787806295286
Kožušany-Tážaly;503304;Olomouc;714.466666666667;500-1k;0.00533376248244597;0.0041989362694784;0.0421828969769783;0.0421828969769783;0.00602198335393314
Žitovlice;503410;Nymburk;150.133333333333;100-200;0.010458623014044;0.00932504440497336;0.064978058454051;0.064978058454051;0.010397472937897
Litovel;503444;Olomouc;8154.53333333333;5-20k;0.0100823938320111;0.0100557563073301;0.0658496693856438;0.0658496693856438;0.0102786836869501
Luká;503622;Olomouc;728.8;500-1k;0.0096949119371406;0.00933040614709111;0.0405613254761714;0.0405613254761714;0.00807358310900112
Lutín;503657;Olomouc;2685.8;2-5k;0.0118628797775001;0.0118648695609005;0.0634110439547712;0.0634110439547712;0.0109749656489158
Majetín;503738;Olomouc;999.733333333333;1-2k;0.0111530281061561;0.0110696185649507;0.052852423609358;0.052852423609358;0.00978023856755097
Kostelec;503916;Tachov;476.2;200-500;0.0192019003303349;0.0211395772084558;0.164119580270239;0.164119580270239;0.0226545332512769
Mladeč;504246;Olomouc;613.066666666667;500-1k;0.009047307124827;0.00848194867333623;0.0643021078396068;0.0643021078396068;0.0096380518926686
Dřenice;504301;Chrudim;330.333333333333;200-500;0.00924783853279059;0.0082744702320888;0.0522055423392922;0.0522055423392922;0.00877619276940603
Náklo;504441;Olomouc;1241.06666666667;1-2k;0.0113299857097731;0.0112806188225183;0.0584804041238515;0.0584804041238515;0.0103163501937426
Náměšť na Hané;504505;Olomouc;1751.53333333333;1-2k;0.00856766865066647;0.00833555361017014;0.0544101345240362;0.0544101345240362;0.00861145453107839
Paseka;504785;Olomouc;1040.66666666667;1-2k;0.0136781662670266;0.0139013452914798;0.0694595764767677;0.0694595764767677;0.0123636911734102
Lány;504807;Chrudim;230.933333333333;200-500;0.00433840366715859;0.000288683602771363;0.0380082269325888;0.0380082269325888;0.00519226311245475
Třibřichy;504921;Chrudim;246.4;200-500;0.00415773419116132;0.000270562770562771;0.0373036298467367;0.0373036298467367;0.00504588681873646
Dvakačovice;504955;Chrudim;143.2;100-200;0.00923756827714634;0.00698324022346369;0.066852840503534;0.066852840503534;0.00993606015535538
Bítovany;505005;Chrudim;360.266666666667;200-500;0.0138978894324715;0.0146188008882309;0.0367391790583116;0.0367391790583116;0.00987106970317178
Příkazy;505013;Olomouc;1089.4;1-2k;0.00945118232207728;0.00917936478795667;0.0448288978721635;0.0448288978721635;0.0082911483119249
Dolní Bezděkov;505030;Chrudim;186.733333333333;100-200;0.0107277025617963;0.0099964298464834;0.079471072495007;0.079471072495007;0.0116847439254422
Senice na Hané;505081;Olomouc;1523.86666666667;1-2k;0.00756732855613794;0.00721847930702599;0.0495541870554272;0.0495541870554272;0.00772505687075969
Červená Hora;505099;Náchod;162.933333333333;100-200;0.0215704415788284;0.029050736497545;0.0632721171248415;0.0632721171248415;0.0158176967228963
Slatinice;505111;Olomouc;1348.93333333333;1-2k;0.00643008445334297;0.00593061184145498;0.0412624319407684;0.0412624319407684;0.00649693328919347
Březová nad Svitavou;505145;Svitavy;1364;1-2k;0.021095264704677;0.0219452590420332;0.125246285479169;0.125246285479169;0.0205093492360697
Štěpánov;505161;Olomouc;2919.06666666667;2-5k;0.0127715717390981;0.012812314438405;0.0819982499912624;0.0819982499912624;0.0129076826926706
Šternberk;505188;Olomouc;11174.1333333333;5-20k;0.0127512006064121;0.0127616161134048;0.0825296382255725;0.0825296382255725;0.0129397621653688
Šumvald;505218;Olomouc;1386.93333333333;1-2k;0.00728262873931654;0.00687367813881946;0.0415283869288747;0.0415283869288747;0.00694435870060012
Těšetice;505269;Olomouc;1100.8;1-2k;0.00979837587311468;0.0095687984496124;0.068433758606756;0.068433758606756;0.0103422054753369
Troubelice;505293;Olomouc;1573.06666666667;1-2k;0.0118237500364713;0.0118240379725377;0.0429091700887257;0.0429091700887257;0.00932474273326936
Tršice;505366;Olomouc;1430.26666666667;1-2k;0.0133380229405015;0.0134706814580032;0.0589173125966848;0.0589173125966848;0.0113551192090394
Bělá u Jevíčka;505391;Svitavy;303.666666666667;200-500;0.0227313743668678;0.0272228320526894;0.0922844948492446;0.0922844948492446;0.018705721316416
Újezd;505501;Olomouc;1222.86666666667;1-2k;0.0180612690265585;0.0186992313143979;0.0714899753060622;0.0714899753060622;0.0147167344347206
Jenčice;505528;Litoměřice;298.533333333333;200-500;0.00443298239870293;0.00133988387673068;0.0584709103267502;0.0584709103267502;0.00686709342983436
Uničov;505587;Olomouc;9621.8;5-20k;0.0146999544272921;0.0147373672285851;0.0811975259551271;0.0811975259551271;0.0138081868294428
Velká Bystřice;505609;Olomouc;2873.46666666667;2-5k;0.0131214340035787;0.0131780427822375;0.0606742774015035;0.0606742774015035;0.0113865684934033
Velký Týnec;505650;Olomouc;2402.66666666667;2-5k;0.00757385565551786;0.00735294117647059;0.0475444787160862;0.0475444787160862;0.00756847419891265
Velký Újezd;505668;Olomouc;1092.6;1-2k;0.0117807017728296;0.0117761913478553;0.0697832594004601;0.0697832594004601;0.0114407037029618
Zápy;505781;Praha-východ;723.666666666667;500-1k;0.0176090131326755;0.0186089359742054;0.0930346131428506;0.0930346131428506;0.0162042028764585
Žerotín;505862;Olomouc;375.133333333333;200-500;0.00881934646480402;0.00781944197618624;0.0502317303168424;0.0502317303168424;0.0084049556001138
Opava;505927;Opava;47207.5333333333;20-50k;0.0152695013678808;0.0152786349071405;0.083769092121739;0.083769092121739;0.0142974950210789
Bohuslavice;506192;Opava;1417.73333333333;1-2k;0.0101189549794287;0.00996896454434308;0.049911382949666;0.049911382949666;0.00902928038101652
Bolatice;506214;Opava;3704.86666666667;2-5k;0.00771415431658125;0.00757562125492595;0.122731506918194;0.122731506918194;0.0136187760378641
Brumovice;506320;Opava;1269.26666666667;1-2k;0.00751471441039303;0.00709070854561689;0.135213888894692;0.135213888894692;0.0145118676065548
Březová;506451;Opava;1148.6;1-2k;0.00875014327779312;0.00841604271867201;0.0425249842217843;0.0425249842217843;0.00775738235319722
