OBEC;OKRES_2017;OKRES_2021;OKRSEK_MIN_2017;OKRSEK_MAX_2017;OKRSEK_MIN_2021;OKRSEK_MAX_2021;VOL_SEZNAM_2017;VOL_SEZNAM_2021;VOL_SEZNAM_2017_SUM;PL_HL_CELK_2017_SUM;VOL_SEZNAM_2021_SUM;PL_HL_CELK_2021_SUM;ODS_2017;CSSD_2017;STAN_2017;KSCM_2017;Pirati_2017;TOP_09_2017;ANO_2017;KDU-CSL_2017;SPD_2017;SPD_2021;SPOLU_2021;Pi+STAN_2021;ANO_2021;CORR_SNEM;IS_CONSISTENT_SNEM;OKRES_2013;OKRES_2018;OKRSEK_MIN_2013;OKRSEK_MAX_2013;OKRSEK_MIN_2018;OKRSEK_MAX_2018;VOL_SEZNAM_K1_2013;VOL_SEZNAM_K2_2013;VOL_SEZNAM_K1_2018;VOL_SEZNAM_K2_2018;VOL_SEZNAM_K1_2013_SUM;VOL_SEZNAM_K2_2013_SUM;PL_HL_CELK_K1_2013;PL_HL_CELK_K2_2013;VOL_SEZNAM_K1_2018_SUM;VOL_SEZNAM_K2_2018_SUM;PL_HL_CELK_K1_2018;PL_HL_CELK_K2_2018;JAFI_K1_2013;MIZE_K1_2013;VLFR_K1_2013;JIDI_K1_2013;KASC_K1_2013;MIZE_K2_2013;KASC_K2_2013;MIHO_K1_2018;PAFI_K1_2018;MIZE_K1_2018;MAHI_K1_2018;JIDR_K1_2018;OSTATNI_K1_2018;MIZE_K2_2018;JIDR_K2_2018;CORR_K1_PREZ;CORR_K2_PREZ;IS_CONSISTENT_PREZ;IS_CONSISTENT_TOTAL;CORR_SNEM_PREZ
500011;7204.0;7204.0;1.0;3.0;1.0;3.0;[750, 439, 409];[717, 435, 394];1598.0;1032.0;1546.0;1077.0;113.0;84.0;88.0;40.0;98.0;38.0;264.0;110.0;144.0;115.0;342.0;138.0;263.0;0.9993038206537797;1.0;7204.0;7204.0;1.0;3.0;1.0;3.0;[800, 431, 388];[799, 433, 385];[741, 429, 405];[736, 429, 403];1619.0;1617.0;1059.0;1040.0;1575.0;1568.0;1052.0;1124.0;160.0;257.0;67.0;124.0;287.0;502.0;538.0;71.0;158.0;401.0;109.0;255.0;58.0;578.0;546.0;0.999519140612317;0.9993542979018392;1;1;0.9998804153383125
500020;7105.0;7105.0;1.0;2.0;1.0;2.0;[265, 706];[268, 729];971.0;546.0;997.0;611.0;49.0;42.0;25.0;35.0;35.0;18.0;195.0;29.0;90.0;97.0;145.0;59.0;174.0;0.9999999999999998;1.0;7105.0;7105.0;1.0;2.0;1.0;2.0;[285, 690];[278, 689];[263, 698];[274, 706];975.0;967.0;568.0;529.0;961.0;980.0;573.0;633.0;91.0;156.0;54.0;100.0;75.0;347.0;182.0;42.0;43.0;270.0;61.0;126.0;31.0;398.0;235.0;1.0;0.9999999999999998;1;1;1.0
500046;8104.0;8104.0;1.0;1.0;1.0;1.0;[1319];[1384];1319.0;854.0;1384.0;941.0;62.0;78.0;16.0;73.0;74.0;9.0;328.0;63.0;108.0;129.0;189.0;116.0;297.0;;1.0;8104.0;8104.0;1.0;1.0;1.0;1.0;[1305];[1303];[1321];[1316];1305.0;1303.0;873.0;812.0;1321.0;1316.0;867.0;957.0;136.0;269.0;55.0;194.0;88.0;539.0;273.0;67.0;85.0;402.0;65.0;193.0;55.0;581.0;376.0;;;1;1;
500062;7203.0;7203.0;1.0;1.0;1.0;1.0;[1616];[1660];1616.0;1031.0;1660.0;1164.0;111.0;46.0;27.0;48.0;86.0;20.0;391.0;105.0;124.0;135.0;326.0;160.0;311.0;;1.0;7203.0;7203.0;1.0;1.0;1.0;1.0;[1618];[1613];[1620];[1596];1618.0;1613.0;975.0;979.0;1620.0;1596.0;1069.0;1100.0;180.0;204.0;94.0;156.0;179.0;525.0;454.0;105.0;112.0;400.0;97.0;273.0;82.0;582.0;518.0;;;1;1;
500071;7203.0;7203.0;1.0;1.0;1.0;1.0;[1443];[1414];1443.0;954.0;1414.0;1043.0;106.0;61.0;37.0;62.0;74.0;32.0;326.0;83.0;117.0;124.0;292.0;140.0;266.0;;1.0;7203.0;7203.0;1.0;1.0;1.0;1.0;[1413];[1418];[1434];[1412];1413.0;1418.0;891.0;890.0;1434.0;1412.0;978.0;1029.0;158.0;242.0;60.0;130.0;168.0;514.0;376.0;84.0;107.0;362.0;108.0;249.0;68.0;545.0;484.0;;;1;1;
500089;1100.0;1100.0;2001.0;2045.0;2001.0;2045.0;[549, 379, 719, 860, 642, 701, 755, 630, 803, 701, 689, 677, 548, 597, 531, 830, 706, 788, 638, 1722, 715, 798, 817, 800, 735, 649, 952, 1115, 839, 754, 632, 949, 933, 744, 820, 604, 661, 490, 645, 640, 395, 475, 631, 714, 669];[485, 335, 716, 802, 604, 677, 731, 596, 724, 646, 653, 621, 496, 600, 508, 803, 660, 793, 621, 1769, 661, 788, 774, 783, 720, 645, 975, 1083, 784, 725, 545, 938, 876, 698, 868, 558, 621, 466, 605, 546, 370, 536, 550, 685, 606];32641.0;20814.0;31246.0;20876.0;3859.0;991.0;1086.0;587.0;3871.0;3577.0;2875.0;1173.0;1098.0;838.0;9112.0;5819.0;2511.0;0.9896382718304492;1.0;1100.0;1100.0;29.0;73.0;2001.0;2045.0;[601, 413, 782, 883, 740, 774, 839, 713, 852, 765, 779, 767, 540, 565, 518, 817, 782, 832, 645, 1490, 778, 849, 956, 854, 815, 640, 967, 1161, 874, 834, 690, 894, 1019, 814, 926, 628, 704, 559, 763, 701, 441, 554, 727, 774, 743];[624, 407, 769, 896, 727, 788, 824, 703, 874, 751, 759, 769, 545, 560, 512, 812, 759, 827, 633, 1491, 780, 869, 961, 853, 801, 626, 985, 1147, 866, 829, 695, 897, 1007, 810, 945, 647, 697, 561, 777, 691, 436, 557, 719, 760, 738];[589, 400, 724, 837, 637, 742, 738, 621, 805, 698, 691, 690, 528, 612, 514, 832, 776, 776, 643, 1763, 711, 802, 821, 833, 742, 628, 961, 1121, 833, 752, 611, 950, 935, 708, 845, 592, 639, 479, 649, 625, 392, 521, 619, 729, 655];[626, 433, 728, 812, 634, 723, 709, 678, 829, 682, 677, 678, 526, 587, 516, 840, 663, 779, 650, 1756, 706, 799, 830, 809, 763, 634, 948, 1101, 818, 749, 598, 952, 952, 712, 844, 620, 627, 476, 689, 616, 400, 546, 618, 778, 647];34762.0;34684.0;21272.0;21214.0;32769.0;32758.0;20980.0;22221.0;1638.0;2939.0;1411.0;2168.0;10776.0;5637.0;15577.0;2546.0;3099.0;3499.0;2004.0;7835.0;1997.0;5327.0;16894.0;0.9594683441280072;0.9540781791423208;0;0;0.9951937758264118
500101;4102.0;4102.0;1.0;1.0;1.0;1.0;[213];[170];213.0;91.0;170.0;89.0;4.0;15.0;2.0;7.0;5.0;1.0;22.0;2.0;25.0;20.0;9.0;4.0;34.0;;1.0;;4102.0;;;1.0;1.0;;;[174];[172];0.0;0.0;0.0;0.0;174.0;172.0;67.0;76.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;48.0;4.0;4.0;5.0;67.0;9.0;;;0;0;
500119;1100.0;1100.0;4001.0;4132.0;4001.0;4132.0;[505, 617, 685, 617, 539, 566, 678, 528, 603, 679, 573, 801, 565, 711, 727, 730, 627, 540, 748, 1055, 724, 740, 726, 699, 585, 644, 718, 564, 597, 637, 590, 645, 728, 593, 482, 892, 894, 683, 486, 922, 787, 691, 740, 739, 568, 415, 654, 684, 771, 917, 652, 850, 749, 680, 746, 626, 640, 627, 808, 724, 804, 789, 690, 795, 476, 390, 613, 663, 670, 727, 750, 625, 685, 639, 701, 903, 1085, 604, 511, 1043, 632, 835, 589, 691, 760, 681, 666, 888, 773, 997, 659, 599, 699, 708, 680, 809, 670, 850, 647, 724, 492, 866, 765, 638, 665, 960, 652, 545, 1092, 832, 759, 769, 858, 722, 635, 730, 494, 685, 739, 751, 818, 717, 704, 636, 729, 794, 898, 630, 586, 722, 697, 3339];[552, 584, 696, 616, 556, 565, 633, 621, 672, 726, 546, 765, 669, 664, 765, 707, 623, 550, 759, 1052, 721, 687, 777, 780, 574, 712, 748, 529, 560, 636, 549, 614, 785, 620, 524, 867, 886, 703, 497, 920, 759, 756, 679, 720, 555, 434, 606, 641, 784, 845, 583, 766, 679, 650, 698, 571, 572, 563, 804, 703, 744, 777, 701, 841, 451, 418, 615, 631, 629, 687, 725, 609, 677, 623, 738, 906, 1120, 589, 472, 965, 591, 783, 543, 658, 694, 637, 632, 812, 748, 923, 608, 577, 672, 700, 646, 742, 648, 872, 645, 750, 536, 914, 769, 662, 663, 965, 657, 541, 1059, 823, 780, 755, 885, 775, 639, 688, 496, 693, 712, 729, 791, 679, 671, 589, 690, 751, 866, 607, 593, 689, 728, 3077];95350.0;63462.0;93649.0;64802.0;10281.0;3822.0;3158.0;2815.0;11134.0;7717.0;13451.0;3016.0;3489.0;2810.0;25713.0;15012.0;11587.0;0.9880808829638426;1.0;1100.0;1100.0;154.0;284.0;4001.0;4132.0;[564, 686, 738, 688, 641, 607, 698, 591, 697, 655, 608, 861, 641, 712, 784, 779, 709, 636, 792, 1161, 802, 749, 847, 780, 574, 724, 813, 683, 666, 702, 601, 686, 800, 590, 480, 1021, 926, 677, 514, 970, 861, 764, 792, 795, 662, 463, 693, 733, 781, 964, 690, 916, 835, 736, 837, 671, 671, 689, 828, 745, 831, 857, 764, 861, 490, 428, 674, 704, 748, 763, 852, 705, 756, 629, 745, 952, 1128, 687, 522, 1178, 668, 904, 626, 754, 814, 723, 715, 887, 803, 1001, 709, 615, 764, 772, 750, 844, 734, 896, 721, 739, 578, 922, 810, 719, 716, 1052, 683, 586, 1120, 900, 794, 849, 896, 765, 683, 699, 534, 732, 795, 777, 855, 779, 748, 684, 751, 840, 855, 652, 1277, 714, 2317];[593, 678, 742, 686, 634, 612, 720, 585, 698, 656, 608, 843, 668, 714, 758, 769, 709, 620, 789, 1255, 801, 735, 859, 777, 559, 728, 818, 703, 662, 701, 602, 678, 797, 591, 474, 1001, 928, 672, 514, 988, 852, 756, 802, 773, 668, 455, 676, 744, 788, 972, 681, 903, 851, 732, 837, 668, 666, 676, 818, 731, 805, 853, 764, 836, 487, 431, 668, 699, 767, 739, 854, 700, 745, 636, 739, 950, 1132, 647, 520, 1181, 659, 906, 627, 724, 824, 737, 718, 899, 784, 998, 709, 623, 764, 759, 771, 850, 746, 895, 713, 737, 564, 910, 793, 722, 698, 1061, 693, 590, 1178, 898, 807, 848, 895, 771, 686, 688, 532, 739, 781, 777, 854, 785, 736, 679, 756, 837, 844, 642, 1272, 696, 2301];[516, 620, 691, 591, 537, 561, 634, 560, 640, 684, 569, 839, 643, 658, 734, 726, 620, 532, 750, 1226, 721, 679, 792, 702, 607, 653, 764, 580, 613, 650, 546, 615, 748, 609, 483, 890, 901, 676, 494, 922, 805, 711, 744, 727, 590, 424, 653, 682, 782, 911, 656, 854, 743, 689, 752, 626, 612, 649, 786, 743, 769, 820, 700, 824, 455, 404, 600, 660, 676, 675, 753, 660, 682, 635, 725, 894, 1099, 630, 513, 1047, 626, 897, 587, 669, 750, 677, 676, 907, 765, 1001, 650, 602, 694, 720, 701, 802, 674, 867, 655, 712, 501, 857, 750, 661, 662, 964, 655, 542, 1080, 837, 784, 756, 875, 713, 650, 725, 506, 674, 723, 746, 843, 742, 713, 637, 726, 781, 896, 635, 587, 721, 697, 3085];[530, 628, 690, 585, 530, 554, 617, 600, 644, 677, 581, 812, 736, 659, 720, 715, 614, 523, 740, 1185, 713, 674, 824, 699, 629, 640, 789, 583, 614, 636, 556, 614, 751, 615, 479, 879, 888, 694, 485, 937, 796, 696, 742, 714, 597, 414, 652, 694, 774, 908, 648, 842, 739, 678, 743, 621, 603, 653, 807, 751, 746, 813, 686, 823, 480, 400, 577, 641, 691, 664, 738, 679, 681, 627, 715, 883, 1072, 621, 518, 1123, 630, 874, 598, 655, 741, 661, 682, 904, 760, 980, 641, 596, 686, 709, 714, 802, 695, 874, 657, 707, 491, 866, 750, 661, 658, 942, 643, 554, 1052, 836, 771, 767, 900, 726, 655, 730, 512, 670, 725, 759, 841, 697, 700, 616, 721, 774, 886, 619, 593, 707, 693, 3133];100774.0;100603.0;65029.0;64127.0;95692.0;95503.0;64262.0;67973.0;6643.0;10794.0;3572.0;7985.0;28986.0;21207.0;42920.0;6872.0;8602.0;14801.0;5827.0;23019.0;5141.0;21389.0;46584.0;0.6345157160599518;0.6454926864011884;0;0;0.9934307715756265
500127;4102.0;4102.0;1.0;1.0;1.0;1.0;[136];[133];136.0;74.0;133.0;80.0;0.0;4.0;3.0;9.0;5.0;1.0;36.0;0.0;11.0;17.0;8.0;13.0;23.0;;1.0;;4102.0;;;1.0;1.0;;;[134];[131];0.0;0.0;0.0;0.0;134.0;131.0;71.0;85.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;2.0;48.0;6.0;8.0;0.0;63.0;22.0;;;0;0;
500143;1100.0;1100.0;5001.0;5081.0;5001.0;5081.0;[458, 344, 409, 340, 395, 435, 449, 2489, 641, 471, 595, 547, 484, 524, 553, 517, 637, 535, 533, 629, 796, 633, 479, 768, 788, 654, 709, 545, 740, 512, 517, 409, 689, 647, 873, 704, 1000, 467, 448, 496, 577, 454, 657, 1080, 740, 933, 819, 770, 672, 814, 688, 661, 1011, 869, 770, 423, 520, 755, 717, 769, 1036, 1259, 820, 393, 1025, 1340, 597, 804, 794, 1004, 847, 905, 799, 1044, 945, 991, 905, 892, 836, 1087, 1072];[425, 328, 407, 339, 348, 396, 351, 2517, 538, 487, 548, 530, 448, 511, 579, 469, 613, 527, 521, 656, 775, 633, 460, 736, 798, 851, 683, 546, 708, 539, 505, 433, 660, 635, 844, 713, 996, 493, 450, 482, 646, 460, 641, 1048, 719, 899, 856, 665, 693, 778, 710, 651, 1217, 881, 740, 377, 498, 836, 687, 1056, 983, 1385, 822, 349, 1040, 1423, 658, 741, 757, 994, 769, 853, 764, 1143, 888, 950, 858, 835, 799, 1059, 1235];58953.0;38802.0;58841.0;40423.0;6517.0;1932.0;2130.0;1402.0;7021.0;5898.0;6769.0;2044.0;2086.0;1703.0;17234.0;10161.0;5816.0;0.9795162310898764;1.0;1100.0;1100.0;285.0;365.0;5001.0;5081.0;[542, 352, 407, 358, 439, 428, 459, 2001, 621, 505, 650, 566, 587, 528, 573, 632, 649, 543, 554, 631, 847, 681, 502, 720, 818, 632, 693, 561, 748, 518, 562, 452, 657, 712, 891, 683, 932, 520, 478, 482, 583, 436, 703, 1105, 805, 959, 866, 771, 626, 783, 705, 703, 927, 880, 787, 446, 581, 785, 727, 700, 968, 1114, 864, 393, 1013, 1031, 708, 872, 907, 990, 946, 981, 930, 1018, 1007, 951, 978, 928, 938, 1061, 925];[538, 349, 422, 354, 438, 423, 458, 2019, 627, 504, 643, 544, 584, 518, 573, 694, 646, 539, 535, 629, 827, 690, 526, 741, 808, 628, 684, 563, 739, 526, 562, 466, 643, 705, 879, 669, 918, 509, 476, 477, 570, 432, 697, 1141, 799, 945, 1035, 769, 640, 764, 681, 686, 927, 865, 780, 445, 582, 777, 713, 690, 985, 1102, 835, 395, 995, 1015, 724, 855, 886, 979, 940, 976, 916, 1006, 995, 965, 963, 919, 928, 1041, 922];[467, 345, 391, 348, 376, 403, 449, 2471, 640, 453, 586, 545, 477, 522, 524, 505, 642, 538, 533, 657, 794, 652, 505, 790, 785, 679, 735, 548, 784, 521, 501, 435, 677, 651, 913, 708, 1035, 472, 439, 495, 593, 445, 626, 1125, 735, 976, 820, 718, 668, 841, 690, 684, 1026, 891, 757, 422, 537, 786, 712, 791, 1021, 1259, 819, 402, 1041, 1373, 654, 802, 808, 1027, 833, 908, 795, 1089, 963, 984, 905, 888, 834, 1087, 1064];[448, 347, 412, 343, 385, 444, 467, 2376, 657, 471, 585, 539, 472, 579, 614, 496, 661, 538, 531, 656, 796, 651, 519, 817, 777, 691, 746, 547, 742, 522, 510, 429, 680, 647, 879, 699, 984, 478, 425, 485, 588, 436, 662, 1175, 726, 917, 1007, 771, 666, 808, 681, 647, 1029, 849, 742, 421, 527, 790, 709, 798, 1033, 1250, 815, 404, 1029, 1371, 685, 790, 806, 1019, 839, 894, 781, 1076, 929, 996, 901, 883, 828, 1099, 1064];59515.0;59353.0;37959.0;37346.0;59390.0;59486.0;39401.0;41641.0;3590.0;5496.0;2551.0;3927.0;18409.0;10936.0;26410.0;4556.0;5387.0;7624.0;3792.0;14645.0;3397.0;11392.0;30249.0;0.9685349047817348;0.967136664283992;0;0;0.997860607346968
